family_id	tandemx_array_bp	selected_annotation_overlap_bp	selected_annotation_fraction_of_array	best_annotation_class	best_annotation_overlap_bp	overlap_class_count	warning
TXF000499	130	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000500	146	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000501	108	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000502	252	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000503	260	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000504	142	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000505	84	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000506	143	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000507	163	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000508	68	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000509	159	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000510	81	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000511	147	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000513	141	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000514	147	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000515	196	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000516	132	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000517	143	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000518	188	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000519	67	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000520	133	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000521	120	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000522	68	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000523	67	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000524	137	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000525	238	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000526	153	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000527	91	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000528	96	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000529	56	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000532	93	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000533	154	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000534	60	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000535	55	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000536	129	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000537	479	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000538	93	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000539	109	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000540	53	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000541	73	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000542	72	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000543	347	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000544	89	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000545	78	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000546	69	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000547	94	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000548	86	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000549	102	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000550	86	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000551	50	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000552	45	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000553	45	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000554	384	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000556	55082	54975	0.9980574416324752	5S_rDNA	54975	1	
TXF000557	8172	8155	0.9979197258932941	centromere	8155	1	
TXF000560	7590	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000562	3442	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000565	3009	3009	1.0	centromere	3009	1	
TXF000567	1642	1638	0.997563946406821	centromere	1638	1	
TXF000568	2957	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000569	1276	1276	1.0	centromere	1276	1	
TXF000570	994	856	0.8611670020120724	centromere	738	2	
TXF000572	12287	12250	0.9969886872304061	centromere	12250	1	
TXF000573	773	773	1.0	centromere	773	1	
TXF000574	13135	13109	0.9980205557670346	centromere	13109	1	
TXF000575	706	706	1.0	telomere	366	2	
TXF000576	2384	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000577	1189	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000578	991	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000579	1566	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000580	12173	12164	0.9992606588351269	centromere	12164	1	
TXF000581	1225	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000582	1966	1854	0.943031536113937	centromere	1178	2	
TXF000583	1568	1373	0.8756377551020408	telomere	783	2	
TXF000584	4293	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000585	1272	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000586	1007	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000587	7565	7504	0.9919365499008592	centromere	7504	1	
TXF000588	480	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000589	748	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000590	771	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000591	743	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000592	619	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000593	4250	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000594	610	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000595	687	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000596	1782	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000597	880	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000598	406	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000599	1503	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000600	581	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000601	3910	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000602	334	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000603	1431	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000604	553	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000605	327	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000606	1169	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000607	280	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000608	621	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000609	440	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000610	263	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000611	571	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000612	9497	9497	1.0	45S_rDNA	9497	1	
TXF000613	432	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000614	226	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000615	187	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000616	331	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000617	364	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000618	182	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000619	436	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000620	414	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000621	458	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000622	1099	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000623	559	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000624	562	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000625	49	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000626	741	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000627	388	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000628	5239	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000629	972	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000630	430	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000631	356	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000632	391	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000633	1332	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000634	288	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000635	399	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000637	251	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000638	231	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000639	366	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000640	373	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000641	140	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000642	371	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000643	314	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000644	257	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000645	353	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000646	309	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000647	368	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000648	325	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000649	800	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000650	225	225	1.0	telomere	225	1	
TXF000651	174	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000653	294	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000654	859	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000655	350	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000656	258	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000657	168	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000658	298	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000659	131	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000660	108	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000661	144	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000662	132	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000663	221	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000664	104	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000665	143	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000666	181	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000667	214	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000668	138	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000669	159	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000670	225	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000671	252	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000672	168	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000673	118	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000674	169	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000675	106	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000676	205	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000677	113	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000678	108	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000679	55	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000680	266	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000681	331	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000682	371	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000684	300	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000685	331	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000686	109	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000687	212	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000689	215	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000690	140	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000691	55	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000692	145	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000693	77	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000694	171	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000695	207	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000696	194	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000697	208	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000698	232	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000699	58	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000700	271	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000701	144	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000702	378	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000703	150	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000704	152	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000705	102	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000706	186	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000707	107	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000708	99	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000710	162	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000711	166	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000712	145	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000713	91	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000714	139	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000715	251	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000716	150	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000717	99	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000718	150	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000719	99	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000720	81	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000721	164	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000722	77	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000723	161	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000724	126	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000725	89	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000726	212	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000727	112	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000728	72	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000729	92	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000730	150	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000731	140	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000732	134	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000733	139	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000734	134	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000735	93	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000736	128	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000737	131	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000738	122	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000739	74	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000740	107	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000741	131	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000742	68	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000743	66	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000744	134	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000745	113	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000746	129	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000747	70	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000748	195	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000749	118	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000750	78	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000751	74	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000752	83	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000753	121	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000754	86	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000755	42	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000756	109	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000757	121	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000758	121	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000760	197	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000761	76	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000762	108	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000763	196	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000764	1659	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000765	126	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000766	108	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000767	168	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000768	68	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000769	55	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000770	91	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000771	128	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000772	59	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000773	93	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000774	113	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000775	83	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000776	97	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000777	67	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000778	878	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000779	177	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000780	53	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000781	43	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000782	99	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000783	76	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000784	140	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000785	52	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000786	83	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000787	78	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000789	50	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000790	69	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000791	76	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000792	69	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000793	88	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000794	71	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000795	94	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000796	67	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000797	75	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000798	76	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000799	74	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000800	83	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000801	95	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000802	67	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000803	78	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000804	73	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000805	59	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000806	49	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000807	56	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000808	87	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000813	14261	14256	0.9996493934506696	centromere	14256	1	
TXF000814	516	456	0.8837209302325582	centromere	270	2	
TXF000815	2176	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000816	2894	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000817	2236	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000818	207	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000819	7309	6933	0.9485565740867423	centromere	4173	2	
TXF000820	3064	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000821	794	794	1.0	centromere	794	1	
TXF000822	1411	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000823	1533	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000825	12928	11781	0.9112778465346535	centromere	7084	2	
TXF000827	15213	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000829	1514	1497	0.9887714663143989	telomere	807	2	
TXF000830	798	632	0.7919799498746867	centromere	356	2	
TXF000831	5789	5365	0.9267576438072206	centromere	3418	2	
TXF000832	3839	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000833	743	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000834	867	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000836	952	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000837	1650	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000838	872	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000840	726	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000841	768	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000842	572	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000843	735	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000844	2849	2330	0.8178308178308178	centromere	1335	2	
TXF000845	12033	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000846	6270	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000847	383	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000848	409	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000849	1495	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000850	863	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000852	440	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000854	233	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000856	515	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000857	397	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000858	340	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000859	823	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000860	483	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000861	435	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000862	251	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000863	462	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000864	450	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000865	10661	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000866	456	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000867	301	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000868	417	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000869	293	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000870	263	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000871	1583	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000872	232	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000873	418	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000874	314	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000875	456	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000876	339	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000877	341	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000878	280	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000879	1512	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000880	252	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000881	271	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000882	341	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000883	339	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000884	287	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000885	2907	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000886	197	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000887	317	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000888	98	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000889	301	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000890	206	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000891	193	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000892	310	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000893	290	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000894	196	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000895	221	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000897	165	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000898	207	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000899	178	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000900	114	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000901	211	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000902	244	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000903	2889	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000905	238	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000906	719	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000907	399	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000909	119	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000910	247	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000911	131	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000912	359	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000913	225	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000914	228	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000915	229	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000916	172	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000918	229	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000919	158	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000920	126	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000921	146	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000922	202	0	0.0	NA	0	0	no_selected_author_annotation_overlap
